member_casual,start_station_name,month,no_of_trips
member,Dearborn Pkwy & Delaware Pl,August,1683
member,Canal St & Adams St,June,1682
member,Sheffield Ave & Fullerton Ave,September,1682
member,Wabash Ave & Grand Ave,May,1682
member,Halsted St & Polk St,October,1679
member,Lakeview Ave & Fullerton Pkwy,June,1679
casual,Streeter Dr & Grand Ave,November,1678
member,Michigan Ave & Oak St,September,1676
member,Ashland Ave & Division St,July,1675
casual,LaSalle St & Illinois St,July,1673
casual,Lakeview Ave & Fullerton Pkwy,June,1673
member,Dearborn Pkwy & Delaware Pl,July,1671
member,Kingsbury St & Kinzie St,November,1671
member,Lincoln Ave & Fullerton Ave,August,1670
member,May St & Taylor St,August,1668
member,Clinton St & Madison St,October,1664
member,Desplaines St & Kinzie St,July,1664
member,Canal St & Adams St,August,1663
member,Broadway & Barry Ave,May,1662
member,Ashland Ave & Division St,August,1659
casual,Clark St & Wrightwood Ave,July,1657
member,Wells St & Elm St,October,1656
casual,DuSable Lake Shore Dr & Belmont Ave,June,1652
casual,Michigan Ave & Washington St,June,1652
member,Halsted St & Clybourn Ave,August,1649
member,State St & Chicago Ave,August,1647
casual,Indiana Ave & Roosevelt Rd,May,1646
member,Clinton St & Washington Blvd,April,1646
casual,Indiana Ave & Roosevelt Rd,September,1643
member,Wells St & Hubbard St,September,1642
member,Loomis St & Lexington St,May,1640
casual,Sheffield Ave & Waveland Ave,June,1639
member,Larrabee St & Webster Ave,July,1639
member,St. Clair St & Erie St,May,1635
casual,Wilton Ave & Belmont Ave,August,1632
casual,Michigan Ave & 8th St,August,1631
member,Halsted St & Clybourn Ave,July,1630
member,DuSable Lake Shore Dr & Wellington Ave,July,1626
member,Wells St & Huron St,September,1624
member,Wilton Ave & Belmont Ave,May,1621
member,Broadway & Waveland Ave,July,1619
member,May St & Taylor St,September,1617
member,Clark St & Drummond Pl,June,1611
casual,DuSable Lake Shore Dr & Belmont Ave,August,1609
member,Ellis Ave & 55th St,May,1609
member,Halsted St & Clybourn Ave,September,1608
casual,Clark St & Wrightwood Ave,June,1607
member,State St & Chicago Ave,September,1605
member,Theater on the Lake,September,1605
member,University Ave & 57th St,April,1605
member,Pine Grove Ave & Waveland Ave,July,1603
member,Canal St & Adams St,May,1601
member,Wabash Ave & Grand Ave,September,1601
member,Wells St & Hubbard St,May,1596
member,Ashland Ave & Division St,September,1595
casual,Michigan Ave & Lake St,July,1593
member,DuSable Lake Shore Dr & Monroe St,July,1592
casual,McClurg Ct & Ohio St,June,1591
casual,New St & Illinois St,June,1591
member,Broadway & Waveland Ave,September,1591
member,Larrabee St & Webster Ave,August,1585
member,Peoria St & Jackson Blvd,August,1585
member,Damen Ave & Pierce Ave,July,1582
member,Halsted St & Clybourn Ave,June,1582
casual,Michigan Ave & Jackson Blvd,July,1580
member,Desplaines St & Kinzie St,June,1578
